Latency,Requests,Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
7.46,500.0,75085.0,0,swarm,hr,1,exp4,0,1,1,1,512,150,2.502,17.312,1.598,500.42
7.37,500.0,14708.0,0,swarm,hr,1,exp4,0,1,1,1,512,30,2.51,10.872,1.596,490.0
7.34,500.0,29940.0,0,swarm,hr,1,exp4,0,1,1,1,512,60,2.48,12.464,1.565,498.97
3.67,500.0,74959.0,0,swarm,mm,1,exp4,0,1,1,1,512,150,2.889,69.952,1.258,499.69
3.74,500.0,14922.0,0,swarm,mm,1,exp4,0,1,1,1,512,30,2.83,21.776,0.607,497.42
3.7,500.0,29666.0,0,swarm,mm,1,exp4,0,1,1,1,512,60,2.842,23.184,0.689,494.42
5.97,500.0,74959.0,0,swarm,sn,1,exp4,0,1,1,1,512,150,3.517,10.064,1.329,499.68
6.14,500.0,14925.0,0,swarm,sn,1,exp4,0,1,1,1,512,30,2.523,28.672,1.569,497.23
6.0,500.0,29800.0,0,swarm,sn,1,exp4,0,1,1,1,512,60,3.164,12.52,1.514,496.56
