Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
3.37,500.0,29800.0,24884,0,nomad,sn,1,exp12,0,1,1,4,512,60,1.016,18.192,0.882,496.63
3.5,500.0,14815.0,9899,0,nomad,mm,1,exp12,0,1,1,4,512,30,2.256,11.384,0.382,493.67
5.2,500.0,14815.0,9900,0,nomad,hr,1,exp12,0,1,1,4,512,30,1.693,18.432,1.105,493.57
3.28,500.0,29799.0,24883,0,nomad,mm,1,exp12,0,1,1,4,512,60,2.068,9.392,0.337,496.57
3.32,500.0,14815.0,9899,0,nomad,sn,1,exp12,0,1,1,4,512,30,1.18,17.52,0.785,493.46
2.86,1500.0,89566.0,74850,0,nomad,sn,1,exp12,0,1,1,4,512,60,0.896,38.176,0.728,1492.65
2.49,1500.0,44334.0,29617,0,nomad,sn,1,exp12,0,1,1,4,512,30,0.797,32.272,0.651,1477.12
16.69,2000.0,59187.0,39686,0,nomad,hr,1,exp12,0,1,1,4,512,30,2.726,58.592,3.288,1972.87
2.4,2000.0,59192.0,39691,0,nomad,sn,1,exp12,0,1,1,4,512,30,0.701,16.4,0.581,1972.81
2.4,3000.0,89128.0,59703,0,nomad,sn,1,exp12,0,1,1,4,512,30,0.649,16.656,0.618,2970.73
49.98,3000.0,89115.0,59709,0,nomad,hr,1,exp12,0,1,1,4,512,30,7.46,134.4,9.771,2969.68
3410.0,3000.0,84696.0,55282,0,nomad,mm,1,exp12,0,1,1,4,512,30,912.172,6934.528,768.037,2823.34
11930.0,4000.0,77884.0,51013,0,nomad,mm,1,exp12,0,1,1,4,512,30,6476.944,14016.512,2424.408,2596.1
2.5,4000.0,118037.0,79865,0,nomad,sn,1,exp12,0,1,1,4,512,30,0.643,30.176,0.603,3934.29
187.77,4000.0,119785.0,79775,0,nomad,hr,1,exp12,0,1,1,4,512,30,30.976,482.304,37.548,3992.68
2.68,5000.0,148637.0,99711,0,nomad,sn,1,exp12,0,1,1,4,512,30,0.657,16.672,0.676,4954.44
16920.0,5000.0,69758.0,45169,0,nomad,mm,1,exp12,0,1,1,4,512,30,10362.582,18923.52,3260.147,2325.1
20630.0,6000.0,56323.0,34572,0,nomad,mm,1,exp12,0,1,1,4,512,30,12801.251,22396.928,4545.479,1877.46
8220.0,6000.0,146175.0,97954,0,nomad,hr,1,exp12,0,1,1,4,512,30,3727.608,11476.992,1743.146,4871.82
33950.0,7000.0,182956.0,147771,0,nomad,mm,1,exp12,0,1,1,4,512,60,18179.468,37683.2,8373.63,3049.34
22170.0,7000.0,55717.0,35445,0,nomad,mm,1,exp12,0,1,1,4,512,30,14078.691,23871.488,4419.399,1856.28
4.59,10000.0,297606.0,199269,0,nomad,sn,1,exp12,0,1,1,4,512,30,0.795,43.584,1.036,9920.18
4.47,10000.0,597467.0,499130,0,nomad,sn,1,exp12,0,1,1,4,512,60,0.791,53.536,0.976,9957.78
16000.0,10000.0,147865.0,98290,0,nomad,hr,1,exp12,0,1,1,4,512,30,10076.772,18137.088,3019.042,4926.95
17990.0,12000.0,148208.0,99534,0,nomad,hr,1,exp12,0,1,1,4,512,30,11492.66,19775.488,3440.743,4938.21
19600.0,14000.0,148832.0,98118,0,nomad,hr,1,exp12,0,1,1,4,512,30,12691.562,21135.36,3798.979,4961.09
2450.0,15000.0,433454.0,287451,0,nomad,sn,1,exp12,0,1,1,4,512,30,404.991,6197.248,534.413,14448.74
21140.0,16000.0,143494.0,95620,0,nomad,hr,1,exp12,0,1,1,4,512,30,13766.897,23199.744,4064.565,4783.21
21660.0,18000.0,148093.0,97874,0,nomad,hr,1,exp12,0,1,1,4,512,30,14166.785,23412.736,4150.793,4935.83
22690.0,20000.0,144710.0,96192,0,nomad,hr,1,exp12,0,1,1,4,512,30,14933.868,24018.944,4374.076,4823.77
11320.0,20000.0,434368.0,283649,0,nomad,sn,1,exp12,0,1,1,4,512,30,4912.57,15360.0,2403.888,14479.26
